"","id","interviewer","ORDER","TTO_BLOCK","DCE_BLOCK","STATE_ID","value","reversed","state_A","state_B","method","flagged","timing","wt","d_mo2","d_mo3","d_mo4","d_mo5","d_sc2","d_sc3","d_sc4","d_sc5","d_ua2","d_ua3","d_ua4","d_ua5","d_pd2","d_pd3","d_pd4","d_pd5","d_ad2","d_ad3","d_ad4","d_ad5","n45"
"212",2020072,29,8,10,12,80,0.2,0,11111,42321,"TTO",0,2020,0.686453581799991,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
"213",2020072,29,9,10,12,86,2,0,11111,55555,"TTO",0,2020,0.686453581799991,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"216",2020072,29,12,10,12,73,0,0,11111,11122,"TTO",0,2020,0.686453581799991,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"217",2020072,29,13,10,12,78,0.25,0,11111,13224,"TTO",0,2020,0.686453581799991,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1
"218",2020072,29,14,10,12,75,1.8,0,11111,35311,"TTO",0,2020,0.686453581799991,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
"219",2020072,29,15,10,12,77,2,0,11111,24445,"TTO",0,2020,0.686453581799991,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1
"220",2020072,29,16,10,12,76,2,0,11111,43555,"TTO",0,2020,0.686453581799991,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"221",2020072,29,17,10,12,79,0.45,0,11111,34232,"TTO",0,2020,0.686453581799991,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1
"229",2020228,27,8,10,12,82,0.2,0,11111,12111,"TTO",0,2020,0.596294349490263,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"230",2020228,27,9,10,12,80,0.5,0,11111,42321,"TTO",0,2020,0.596294349490263,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
"231",2020228,27,10,10,12,77,1.9,0,11111,24445,"TTO",0,2020,0.596294349490263,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1
"232",2020228,27,11,10,12,76,1.95,0,11111,43555,"TTO",0,2020,0.596294349490263,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"233",2020228,27,12,10,12,79,0.5,0,11111,34232,"TTO",0,2020,0.596294349490263,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1
"234",2020228,27,13,10,12,73,0.1,0,11111,11122,"TTO",0,2020,0.596294349490263,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"235",2020228,27,14,10,12,74,1.7,0,11111,52335,"TTO",0,2020,0.596294349490263,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1
"236",2020228,27,15,10,12,75,0.5,0,11111,35311,"TTO",0,2020,0.596294349490263,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
"237",2020228,27,16,10,12,86,2,0,11111,55555,"TTO",0,2020,0.596294349490263,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"238",2020228,27,17,10,12,78,0.5,0,11111,13224,"TTO",0,2020,0.596294349490263,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1
"246",2020181,22,8,10,16,80,0,0,11111,42321,"TTO",0,2020,0.663474809091599,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
"247",2020181,22,9,10,16,78,1,0,11111,13224,"TTO",0,2020,0.663474809091599,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1
"248",2020181,22,10,10,16,75,0.4,0,11111,35311,"TTO",0,2020,0.663474809091599,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
"249",2020181,22,11,10,16,74,0.5,0,11111,52335,"TTO",0,2020,0.663474809091599,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1
"250",2020181,22,12,10,16,82,0,0,11111,12111,"TTO",0,2020,0.663474809091599,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"251",2020181,22,13,10,16,77,1,0,11111,24445,"TTO",0,2020,0.663474809091599,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1
"252",2020181,22,14,10,16,79,0.4,0,11111,34232,"TTO",0,2020,0.663474809091599,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1
"253",2020181,22,15,10,16,76,1.4,0,11111,43555,"TTO",0,2020,0.663474809091599,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"254",2020181,22,16,10,16,86,1.4,0,11111,55555,"TTO",0,2020,0.663474809091599,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"255",2020181,22,17,10,16,73,0,0,11111,11122,"TTO",0,2020,0.663474809091599,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"263",2020214,1,8,10,NA,74,1.55,0,11111,52335,"TTO",0,2020,0.778146554926541,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1
"264",2020214,1,9,10,NA,79,0.5,0,11111,34232,"TTO",0,2020,0.778146554926541,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1
"265",2020214,1,10,10,NA,73,0.2,0,11111,11122,"TTO",0,2020,0.778146554926541,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"268",2020214,1,13,10,NA,82,0.3,0,11111,12111,"TTO",0,2020,0.778146554926541,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"269",2020214,1,14,10,NA,76,2,0,11111,43555,"TTO",0,2020,0.778146554926541,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"272",2020214,1,17,10,NA,77,2,0,11111,24445,"TTO",0,2020,0.778146554926541,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1
"281",2020212,3,9,10,18,75,0,0,11111,35311,"TTO",0,2020,0.778146554926541,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
